,img_name,total_objects,total_area
214,ImgROI_1193_Tile_00_Date_20240603.tif,1,493
215,ImgROI_1194_Tile_00_Date_20240603.tif,15,264880
216,ImgROI_1195_Tile_00_Date_20240603.tif,40,366397
217,ImgROI_1196_Tile_00_Date_20240603.tif,4,1336
218,ImgROI_1197_Tile_00_Date_20240603.tif,47,10427
219,ImgROI_1198_Tile_00_Date_20240603.tif,103,57919
220,ImgROI_1199_Tile_00_Date_20240603.tif,102,288028
221,ImgROI_119_Tile_00_Date_20240603.tif,34,255874
222,ImgROI_11_Tile_00_Date_20240603.tif,171,109938
223,ImgROI_1200_Tile_00_Date_20240603.tif,34,73074
224,ImgROI_1201_Tile_00_Date_20240603.tif,72,421030
225,ImgROI_1202_Tile_00_Date_20240603.tif,5,7650
226,ImgROI_1203_Tile_00_Date_20240603.tif,47,492372
227,ImgROI_1204_Tile_00_Date_20240603.tif,72,76077
228,ImgROI_1205_Tile_00_Date_20240603.tif,108,385507
229,ImgROI_1206_Tile_00_Date_20240603.tif,89,349353
230,ImgROI_1207_Tile_00_Date_20240603.tif,88,152777
231,ImgROI_1208_Tile_00_Date_20240603.tif,58,51064
232,ImgROI_1209_Tile_00_Date_20240603.tif,17,3252
233,ImgROI_120_Tile_00_Date_20240603.tif,86,86551
234,ImgROI_1210_Tile_00_Date_20240603.tif,143,384856
235,ImgROI_1211_Tile_00_Date_20240603.tif,113,137719
236,ImgROI_1212_Tile_00_Date_20240603.tif,186,247126
237,ImgROI_1213_Tile_00_Date_20240603.tif,112,137629
238,ImgROI_1214_Tile_00_Date_20240603.tif,3,395
239,ImgROI_1215_Tile_00_Date_20240603.tif,25,343592
240,ImgROI_1216_Tile_00_Date_20240603.tif,3,1502
241,ImgROI_1217_Tile_00_Date_20240603.tif,12,8875
242,ImgROI_1218_Tile_00_Date_20240603.tif,9,4414
243,ImgROI_1219_Tile_00_Date_20240603.tif,44,72909
244,ImgROI_121_Tile_00_Date_20240603.tif,7,367595
245,ImgROI_1220_Tile_00_Date_20240603.tif,137,372016
246,ImgROI_1221_Tile_00_Date_20240603.tif,103,113916
247,ImgROI_1222_Tile_00_Date_20240603.tif,3,1992
248,ImgROI_1223_Tile_00_Date_20240603.tif,118,126356
249,ImgROI_1224_Tile_00_Date_20240603.tif,92,106504
250,ImgROI_1225_Tile_00_Date_20240603.tif,21,33703
251,ImgROI_1226_Tile_00_Date_20240603.tif,26,20137
252,ImgROI_1227_Tile_00_Date_20240603.tif,91,337263
253,ImgROI_1228_Tile_00_Date_20240603.tif,47,326159
254,ImgROI_1229_Tile_00_Date_20240603.tif,60,34640
255,ImgROI_122_Tile_00_Date_20240603.tif,18,25696
256,ImgROI_1230_Tile_00_Date_20240603.tif,183,361111
257,ImgROI_1231_Tile_00_Date_20240603.tif,24,12828
258,ImgROI_1232_Tile_00_Date_20240603.tif,61,51262
259,ImgROI_1233_Tile_00_Date_20240603.tif,16,6313
260,ImgROI_1234_Tile_00_Date_20240603.tif,132,150881
261,ImgROI_1235_Tile_00_Date_20240603.tif,182,408195
262,ImgROI_1236_Tile_00_Date_20240603.tif,206,478966
263,ImgROI_1237_Tile_00_Date_20240603.tif,53,171701
264,ImgROI_1238_Tile_00_Date_20240603.tif,53,165320
265,ImgROI_1239_Tile_00_Date_20240603.tif,5,1024
266,ImgROI_123_Tile_00_Date_20240603.tif,21,569
267,ImgROI_1240_Tile_00_Date_20240603.tif,292,145375
268,ImgROI_1241_Tile_00_Date_20240603.tif,60,173533
269,ImgROI_1242_Tile_00_Date_20240603.tif,144,370978
270,ImgROI_1243_Tile_00_Date_20240603.tif,13,46777
271,ImgROI_1244_Tile_00_Date_20240603.tif,63,57243
272,ImgROI_1245_Tile_00_Date_20240603.tif,15,338219
273,ImgROI_1246_Tile_00_Date_20240603.tif,20,59693
274,ImgROI_1247_Tile_00_Date_20240603.tif,3,9456
275,ImgROI_1248_Tile_00_Date_20240603.tif,73,5991
276,ImgROI_1249_Tile_00_Date_20240603.tif,26,173989
277,ImgROI_124_Tile_00_Date_20240603.tif,57,42827
278,ImgROI_1250_Tile_00_Date_20240603.tif,184,58780
279,ImgROI_1251_Tile_00_Date_20240603.tif,164,414443
280,ImgROI_1252_Tile_00_Date_20240603.tif,8,8739
281,ImgROI_1253_Tile_00_Date_20240603.tif,56,78586
282,ImgROI_1254_Tile_00_Date_20240603.tif,120,289366
283,ImgROI_1255_Tile_00_Date_20240603.tif,321,106771
284,ImgROI_1256_Tile_00_Date_20240603.tif,5,984
285,ImgROI_1257_Tile_00_Date_20240603.tif,260,181667
286,ImgROI_1258_Tile_00_Date_20240603.tif,33,89747
287,ImgROI_1259_Tile_00_Date_20240603.tif,100,88133
288,ImgROI_125_Tile_00_Date_20240603.tif,56,271502
289,ImgROI_1260_Tile_00_Date_20240603.tif,222,238247
290,ImgROI_1261_Tile_00_Date_20240603.tif,131,370460
291,ImgROI_1262_Tile_00_Date_20240603.tif,91,54819
292,ImgROI_1263_Tile_00_Date_20240603.tif,393,131478
293,ImgROI_1264_Tile_00_Date_20240603.tif,151,120639
294,ImgROI_1265_Tile_00_Date_20240603.tif,103,415851
295,ImgROI_1266_Tile_00_Date_20240603.tif,119,216847
296,ImgROI_1267_Tile_00_Date_20240603.tif,85,51657
297,ImgROI_1268_Tile_00_Date_20240603.tif,116,31703
298,ImgROI_1269_Tile_00_Date_20240603.tif,220,322064
299,ImgROI_126_Tile_00_Date_20240603.tif,8,88106
300,ImgROI_1270_Tile_00_Date_20240603.tif,158,351620
301,ImgROI_1271_Tile_00_Date_20240603.tif,7,15151
302,ImgROI_1272_Tile_00_Date_20240603.tif,276,495849
303,ImgROI_1273_Tile_00_Date_20240603.tif,251,458612
304,ImgROI_1274_Tile_00_Date_20240603.tif,28,20735
305,ImgROI_1275_Tile_00_Date_20240603.tif,171,113323
306,ImgROI_1276_Tile_00_Date_20240603.tif,420,282101
307,ImgROI_1277_Tile_00_Date_20240603.tif,165,101077
308,ImgROI_1278_Tile_00_Date_20240603.tif,12,9106
309,ImgROI_1279_Tile_00_Date_20240603.tif,283,450626
310,ImgROI_127_Tile_00_Date_20240603.tif,25,310556
311,ImgROI_1280_Tile_00_Date_20240603.tif,391,247344
312,ImgROI_1281_Tile_00_Date_20240603.tif,139,69450
313,ImgROI_1282_Tile_00_Date_20240603.tif,14,4691
314,ImgROI_1283_Tile_00_Date_20240603.tif,367,444084
315,ImgROI_1284_Tile_00_Date_20240603.tif,482,249245
316,ImgROI_1285_Tile_00_Date_20240603.tif,30,345088
317,ImgROI_1286_Tile_00_Date_20240603.tif,4,6665
318,ImgROI_1287_Tile_00_Date_20240603.tif,28,4849
319,ImgROI_1288_Tile_00_Date_20240603.tif,2,54
320,ImgROI_1289_Tile_00_Date_20240603.tif,16,11987
321,ImgROI_128_Tile_00_Date_20240603.tif,27,129395
322,ImgROI_1290_Tile_00_Date_20240603.tif,40,529298
323,ImgROI_1291_Tile_00_Date_20240603.tif,17,16710
324,ImgROI_1292_Tile_00_Date_20240603.tif,20,17717
325,ImgROI_1293_Tile_00_Date_20240603.tif,24,50419
326,ImgROI_1294_Tile_00_Date_20240603.tif,25,108400
327,ImgROI_1295_Tile_00_Date_20240603.tif,28,272778
328,ImgROI_1296_Tile_00_Date_20240603.tif,48,294869
329,ImgROI_1297_Tile_00_Date_20240603.tif,7,4014
330,ImgROI_1298_Tile_00_Date_20240603.tif,6,3103
331,ImgROI_1299_Tile_00_Date_20240603.tif,15,7935
332,ImgROI_129_Tile_00_Date_20240603.tif,22,39526
333,ImgROI_12_Tile_00_Date_20240603.tif,150,143506
334,ImgROI_1300_Tile_00_Date_20240603.tif,22,672047
335,ImgROI_1301_Tile_00_Date_20240603.tif,2,215
336,ImgROI_1302_Tile_00_Date_20240603.tif,28,617741
337,ImgROI_1303_Tile_00_Date_20240603.tif,6,64901
338,ImgROI_1304_Tile_00_Date_20240603.tif,12,222944
339,ImgROI_1305_Tile_00_Date_20240603.tif,76,359843
340,ImgROI_1306_Tile_00_Date_20240603.tif,44,135488
341,ImgROI_1307_Tile_00_Date_20240603.tif,17,125570
342,ImgROI_1308_Tile_00_Date_20240603.tif,52,463905
343,ImgROI_1309_Tile_00_Date_20240603.tif,19,45695
344,ImgROI_130_Tile_00_Date_20240603.tif,119,119125
345,ImgROI_1310_Tile_00_Date_20240603.tif,35,364647
346,ImgROI_1311_Tile_00_Date_20240603.tif,51,24393
347,ImgROI_1312_Tile_00_Date_20240603.tif,17,270604
348,ImgROI_1313_Tile_00_Date_20240603.tif,4,490
