name,masked_R_entropy,masked_G_entropy,masked_B_entropy,masked_total_objects,masked_total_area,cloud_area,cloud_percentage
ImgROI_0_Tile_06_Date_20240628.tif,8.735505901832951,8.74179355993622,8.78678182874934,68,127632,0,0.0
ImgROI_0_Tile_06_Date_20240703.tif,0.33771114269180863,0.41825297210821905,0.453281236790033,11,4071,63518,96.92
ImgROI_0_Tile_06_Date_20240708.tif,8.73892390231423,8.811879628437188,8.880978264349737,80,123825,0,0.0
ImgROI_0_Tile_06_Date_20240713.tif,8.673375151806034,8.7405505671727,8.711379176555633,76,123483,0,0.0
ImgROI_0_Tile_06_Date_20240718.tif,8.029554745037588,8.11899497864444,8.101758631457905,64,107560,3289,5.02
ImgROI_0_Tile_06_Date_20240723.tif,8.72027100132557,8.659380389532547,8.738917474916564,72,125455,0,0.0
ImgROI_0_Tile_06_Date_20240728.tif,8.22799812083887,8.183343388130043,8.084968864827658,55,82522,14217,21.69
ImgROI_0_Tile_06_Date_20240802.tif,8.710471798935815,8.703814890859466,8.787555600336907,70,133133,0,0.0
ImgROI_0_Tile_06_Date_20240807.tif,8.846011138083757,8.785241561959985,8.810569366014912,76,125243,0,0.0
ImgROI_0_Tile_06_Date_20240812.tif,8.16289745755476,8.08317477229223,8.02762252699675,32,61335,28298,43.18
ImgROI_0_Tile_06_Date_20240817.tif,8.838492339241546,8.884435324287308,8.88746322527597,72,57985,0,0.0
ImgROI_0_Tile_06_Date_20240822.tif,8.277639234389943,8.286870389584609,8.266650947660144,31,74484,27125,41.39
ImgROI_0_Tile_06_Date_20240827.tif,8.902449911479522,8.939812049564628,8.92439620441217,79,125284,0,0.0
ImgROI_0_Tile_06_Date_20240901.tif,8.922678565845786,8.944805803423506,9.014530901107927,85,129280,0,0.0
ImgROI_0_Tile_06_Date_20240906.tif,8.963921498190455,8.966113782559706,8.937631617219957,84,129125,0,0.0
ImgROI_0_Tile_06_Date_20240911.tif,8.979693808006152,8.925593710321733,8.944512102265717,95,131660,0,0.0
ImgROI_0_Tile_06_Date_20240916.tif,8.924791728531698,8.858212712975567,8.835989995536618,89,129744,0,0.0
ImgROI_0_Tile_06_Date_20240921.tif,8.788408493607811,8.749745305542223,8.795368100336907,94,130945,0,0.0
ImgROI_0_Tile_06_Date_20240926.tif,8.80498278521354,8.783262923779924,8.832612057282384,97,126769,0,0.0
ImgROI_0_Tile_07_Date_20240603.tif,6.934341365251718,7.0180415644272625,7.098352708461921,36,48472,4717,7.2
ImgROI_0_Tile_07_Date_20240608.tif,2.04242083267808,1.8756694676376404,1.8860861343043072,25,26395,43874,66.95
ImgROI_0_Tile_07_Date_20240613.tif,7.467870099898631,7.4972557801637425,7.475778600534372,43,122387,0,0.0
ImgROI_0_Tile_07_Date_20240618.tif,7.764587058393653,7.786889890869109,7.853579241218134,43,112474,0,0.0
ImgROI_0_Tile_07_Date_20240623.tif,1.907988040824456,1.8879194815837326,1.8921785233113357,1,5764,59727,91.14
ImgROI_0_Tile_07_Date_20240628.tif,7.825210965811543,7.786876890612424,7.815759948928496,44,88532,0,0.0
ImgROI_0_Tile_07_Date_20240703.tif,3.580314357267591,3.629576032326306,3.56692872251061,4,8166,56123,85.64
ImgROI_0_Tile_07_Date_20240708.tif,7.917868855731765,7.941751154520136,7.950311655352839,48,103001,0,0.0
ImgROI_0_Tile_07_Date_20240713.tif,7.562252386825535,7.561184298605219,7.562133817139608,49,96842,0,0.0
ImgROI_0_Tile_07_Date_20240718.tif,7.902785556246546,7.898602493227915,7.970820722175466,45,97379,444,0.68
ImgROI_0_Tile_07_Date_20240723.tif,7.6848551697021845,7.706811191553359,7.744470805525994,48,123168,0,0.0
ImgROI_0_Tile_07_Date_20240728.tif,3.6358510517462244,3.2431912335236115,3.1810118724129084,30,66206,22162,33.82
ImgROI_0_Tile_07_Date_20240802.tif,7.814250115115852,7.930756941438544,7.94759036608742,51,124013,0,0.0
ImgROI_0_Tile_07_Date_20240807.tif,8.083439839450607,8.115479035930798,8.107308219508694,52,122398,0,0.0
ImgROI_0_Tile_07_Date_20240812.tif,7.289815334152103,7.292603637186389,7.243583770075677,20,9564,29067,44.35
ImgROI_0_Tile_07_Date_20240817.tif,7.795642470033041,7.819569900661256,7.742326862540323,49,96161,0,0.0
ImgROI_0_Tile_07_Date_20240822.tif,8.459725234779961,8.444394150884593,8.471682168235981,18,29634,40558,61.89
ImgROI_0_Tile_07_Date_20240827.tif,7.927257324056207,7.927328634584727,7.916958763649598,56,130838,0,0.0
ImgROI_0_Tile_07_Date_20240901.tif,8.003806570678606,8.041206577302923,7.997961485481279,61,131335,0,0.0
ImgROI_0_Tile_07_Date_20240906.tif,8.115832646064415,8.09458399763289,8.071967337116323,59,118099,0,0.0
ImgROI_0_Tile_07_Date_20240911.tif,8.16329147551195,8.131847745557032,8.14680479969293,60,124979,0,0.0
ImgROI_0_Tile_07_Date_20240916.tif,7.933260851373714,7.907811811514363,7.942360628085258,61,114083,676,1.03
ImgROI_0_Tile_07_Date_20240921.tif,7.9343503218707125,7.976630664999408,7.944012270480601,54,117770,0,0.0
